ts	phase	decision	why	evidence	result
2026-09-04T02:11:00Z	frame	fast-forwarded main and captured the single-package baseline	started from current code and required the existing checks to stay green	baseline bun run check	11 test files and 44 tests passed
2026-09-04T02:15:00Z	packages	split the SDK into six product-scoped packages	matched the approved Sentry-style ownership without adding Nx or compatibility packages	packages/*/package.json	build passed for all six packages
2026-09-04T02:16:00Z	tests	ran conditional export tests from the package directory	Node resolves self references from the package scope, not the private workspace root	packages/tanstack-start/test/exports.test.ts	11 test files and 44 tests passed
2026-09-04T02:17:00Z	publish	used exact lockstep versions for package dependencies	npm publish cannot safely ship workspace protocol dependency ranges	packages/*/package.json	publish manifests contain 0.1.0-alpha.5 dependencies
2026-09-04T02:20:00Z	deno	rejected runtime export conditions as the declaration fix	Deno still selected declaration metadata, so export ordering did not address the type error	Deno TS2305 output	reverted
2026-09-04T02:23:59Z	deno	rewrote relative JavaScript links in generated declarations to explicit declaration links	the same declarations must resolve under both TypeScript NodeNext and Deno	scripts/rewrite-declaration-imports.ts	TypeScript, publint, deno check, and deno import passed
2026-09-04T02:50:00Z	deno	annotate emitted JS with @ts-self-types sibling declarations	Deno does not auto-bind sibling .d.ts to .js (unlike tsc); rewriting d.ts imports to .d.ts causes TS2846	scripts/add-ts-self-types.ts	deno check, bun check, skipLibCheck=false consumer (0 TS2846) passed
2026-09-04T02:54:34Z	review	rejected the declaration import rewrite	strict TypeScript consumers reject .d.ts specifiers on value exports with TS2846	independent audit and debug reproduction	superseded the 02:23:59Z row
2026-09-04T02:54:34Z	build	clean every package output and check lockstep versions	stale files and mismatched internal dependency pins can produce invalid releases	scripts/clean.ts, scripts/check-package-versions.ts	build starts clean and version drift fails check
2026-09-04T02:56:56Z	release	made repeated release runs skip versions already on npm	a failed multi-package publish can otherwise block a safe rerun	.github/workflows/release.yml	release reruns converge on all six packages
2026-09-04T02:56:56Z	verify	checked every package from a clean build	package boundaries must work in the supported runtimes and in published tarballs	/opt/cursor/artifacts/monorepo_verification_v3.log	44 tests, 8 Deno checks, 3 runtime imports, 6 publint and pack checks passed
2026-09-04T03:03:19Z	source-maps	offset generated mappings with the Deno type directive	prepending @ts-self-types adds one generated line and must not shift debugging positions	test/build-output.test.ts	build-output test passes for every emitted JavaScript file
2026-09-04T03:03:19Z	consumer	installed all six tarballs together in a clean directory	dry-run package inspection does not prove dependency resolution after installation	/tmp/supacatch-consumer-35Yeom	isolated Node, Bun, and Deno imports passed
